typeID,name,file,bytes
1,"Nhan Vien Ola Cap 1",vip_001.png,6083
2,"Nhan Vien Ola Cap 2",vip_002.png,5835
3,"Nhan Vien Ola Cap 3",vip_003.png,5405
4,"Zakumi Đại Đế",vip_004.png,10024
5,"VIP Iphone 5s",vip_005.png,4131
6,"Tử Thần",vip_006.png,2985
7,"Emperor Fuleco",vip_007.png,14245
8,"Empress Fuleco",vip_008.png,14946
9,"Khỉ Đột",vip_009.png,5771
10,"Zakumi Gao Cam",vip_010.png,9277
11,"Cool Boy",vip_011.png,5336
12,"Tí Papa",vip_012.png,9094
13,"Zakumi Gao Đen",vip_013.png,8764
14,"Dũng Sĩ Huyền Thoại Hercules (Hec-Quyn)",vip_014.png,14164
15,"Vương Hậu",vip_015.png,9015
16,"Nguyên Soái",vip_016.png,9391
17,"Đô-rê-mi",vip_017.png,7795
18,"Cục... Cưng",vip_018.png,5009
19,"Thiết Phiến Công Chúa",vip_019.png,6422
20,"Xê-ko",vip_020.png,8414
21,"Xu-ka",vip_021.png,8512
22,"Zakumi Đại Ca",vip_022.png,6677
23,"Tiểu Thư",vip_023.png,8443
24,"Trái Tim Ngục Tù",vip_024.png,8516
25,"Zakumi Gao Đội  Trưởng",vip_025.png,9190
26,"Trái Tim Tự Do",vip_026.png,5312
27,"Tí Cận",vip_027.png,5159
28,"Zakumi Gao Trắng",vip_028.png,8936
29,"Garu",vip_029.png,5592
30,"Yêu Nhền Nhện",vip_030.png,11226
31,"Zakumi Thiên Thần",vip_031.png,10016
32,"Zakumi Tam Ca",vip_032.png,5120
33,"Yahoo",vip_033.png,3797
34,"Offline",vip_034.png,1847
35,"Chai-en",vip_035.png,8869
36,"Rắn Vàng Quý Tỵ",vip_036.png,6124
37,"Cánh Cụt Kute",vip_037.png,6305
38,"Zakumi Út",vip_038.png,6877
39,"Vô Ảnh Tử Thần",vip_039.png,2487
40,"Trứng Apple(nở ra iPhone5s hoặc VIP Độc)",vip_040.png,15003
41,"Lão Gà-mên",vip_041.png,6281
42,"Cậu Bé Đại Dương",vip_042.png,5592
43,"Tí Điệu",vip_043.png,8072
44,"Đại Hiệp Phu Nhân",vip_044.png,9100
45,"Zakumi Gao Vàng",vip_045.png,10068
46,"Zakumi Gao Xanh",vip_046.png,9645
47,"Đô-rê-mon",vip_047.png,9464
48,"Zakumi Võ Sư",vip_048.png,8457
49,"Pucca",vip_049.png,7562
50,"Zakumi Ác Thần",vip_050.png,9458
51,"Vua Của Các Vị Thần Zeus",vip_051.png,15258
52,"Zakumi Omar",vip_052.png,9802
53,"Tiên Đế",vip_053.png,7683
54,"Thiếu Gia",vip_054.png,9247
55,"Zakumi Idol (Đại Gia)",vip_055.png,6321
56,"Ngựa Bay Tí Hon",vip_056.png,5818
57,"Hoàng Hậu",vip_057.png,11245
58,"Đại Hiệp",vip_058.png,6803
59,"Hắc Miu",vip_059.png,3962
60,"Zakumi Hoàng Tử Arap",vip_060.png,8914
61,"Zakumi Thống Lĩnh",vip_061.png,9811
62,"Đức Vua",vip_062.png,9611
63,"Nô-bi-ta",vip_063.png,6019
64,"Zakumi Nhị Ca",vip_064.png,7726
65,"Tí Đô (Lực Sĩ)",vip_065.png,8410
66,"Thần Khôn Ngoan Hermes",vip_066.png,12907
67,"Hoàng Tử",vip_067.png,7927
68,"Đắc Kỷ",vip_068.png,5983
69,"Quận Chúa",vip_069.png,8055
70,"Hồ Ly Tinh",vip_070.png,10099
71,"Ghost Rider",vip_071.png,6522
72,"Công Chúa",vip_072.png,7489
73,"Chó Puppy",vip_073.png,6393
74,"Phó Tướng Phu Nhân",vip_074.png,4780
75,"Phó Tướng",vip_075.png,5653
76,"Tí Lười",vip_076.png,4669
77,"Tí Cô Nương",vip_077.png,8898
78,"Heo Hồng Boorin",vip_078.png,11078
79,"Chiến Binh Bất Tử Achilles",vip_079.png,8967
80,"Quân Sư Phu Nhân",vip_080.png,9195
81,"Nữ Thần Toàn Năng Athena",vip_081.png,14603
82,"Quân Sư",vip_082.png,6198
83,"Zakumi Tiên Tri",vip_083.png,6347
84,"Zakumi Sắt",vip_084.png,6737
85,"Vương Thần Địa Ngục Hades",vip_085.png,15073
86,"Conan",vip_086.png,8963
87,"InuYasha",vip_087.png,4401
88,"Sesumarou",vip_088.png,4077
89,"Kagome",vip_089.png,6936
90,"Ran Mori",vip_090.png,4658
91,"Zakumi Vương Tử",vip_091.png,9385
92,"Diêm Đế",vip_092.png,5201
93,"Diêm Thiếu Gia",vip_093.png,8112
94,"Ma Kute",vip_094.png,4523
95,"Nữ Thần Tình Yêu Aphrodite",vip_095.png,12792
96,"Thần Mặt Trời Apollo",vip_096.png,12989
97,"Thần Chiến Tranh Ares",vip_097.png,11833
98,"Nữ Thần Hôn Nhân Hera",vip_098.png,14575
99,"Nữ Thần Săn Bắn Artemis",vip_099.png,12259
100,"Vương Thần Biển Cả Poseidon",vip_100.png,10692
101,"Bạch Dương (21.3-19.4)",vip_101.png,9053
102,"Kim Ngưu (20.4-20.5)",vip_102.png,7856
103,"Song Tử (21.5-21.6)",vip_103.png,6416
104,"Cự Giải (22.6-22.7)",vip_104.png,10819
105,"Sư Tử (23.7-22.8)",vip_105.png,7479
106,"Xử Nữ (23.8-22.9)",vip_106.png,10284
107,"Thiên Bình (23.9-23.10)",vip_107.png,8322
108,"Hổ Cáp (24.10-22.11)",vip_108.png,10887
109,"Nhân Mã (23.11-21.12)",vip_109.png,8839
110,"Ma Kết (22.12-19.1)",vip_110.png,9828
111,"Bảo Bình (20.1-18.2)",vip_111.png,8047
112,"Song Ngư (19.2-20.3)",vip_112.png,11104
113,"Thủy Long",vip_113.png,15599
114,"Địa Long",vip_114.png,14576
115,"Hỏa Long",vip_115.png,16065
116,"Linh Điêu",vip_116.png,7381
117,"Thần Điêu",vip_117.png,9569
118,"Phượng Hoàng Trí Tuệ",vip_118.png,11097
119,"Phượng Hoàng Toàn Năng",vip_119.png,14507
120,"Phượng Hoàng Sắc Đẹp",vip_120.png,9281
